revision_id,revision_url,title,authorPHID,created_utc,text
134876,https://phabricator.services.mozilla.com/D134876,"Bug 1745730, disable bfcache when loading the current uri again, r=peterv",PHID-USER-7hxjutcooeszod3rg3dr,2021-12-30 18:15:07,https://treeherder.mozilla.org/#/jobs?repo=try&revision=424cfbdf119f7e5836607fa7617a77aec2469b58
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-tov74rglvoehjrhavwxp,2022-01-24 22:53:06,">>! In D134826#4444377, @jandem wrote:
> Is there a test we could add for this?

We can't add a jsapi test because the methods to create tuples/records aren't exposed in jsapi.cpp yet. (They should be eventually, but that would be a bigger change.) I'm not sure if there's another way to add a test of an internal method."
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-ir4emeapesorzd6nq5ut,2022-01-24 13:58:56,r=me with comments addressed
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-ir4emeapesorzd6nq5ut,2022-01-21 14:55:09,Is there a test we could add for this?
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-ir4emeapesorzd6nq5ut,2022-01-21 14:54:23,"I think this is wrong for non-debug builds where `MOZ_ASSERT` is a no-op. Should be `MOZ_ALWAYS_TRUE`?

While you're here, as a style rule we don't use else-after-return"
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-tov74rglvoehjrhavwxp,2022-01-17 23:16:54,"I don't understand what's causing the ""patching file js/src/builtin/TupleObject.h / Hunk #1 FAILED at 11"" error."
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-cje4weq32o3xyuegalpj,2022-01-14 06:40:51,"Code analysis found 1 defect in the diff 527986:
 - 1 defect found by eslint (Mozlint)

You can run this analysis locally with:
 - `./mach lint --warnings --outgoing`

---
If you see a problem in this automated review, [please report it here](https://bugzilla.mozilla.org/enter_bug.cgi?product=Firefox+Build+System&component=Source+Code+Analysis&short_desc=[Automated+review]+UPDATE&comment=**Phabricator+URL:**+https://phabricator.services.mozilla.com/...&format=__default__).

You can view these defects on [the code-review frontend](https://code-review.moz.tools/#/diff/527986) and on [Treeherder](https://treeherder.mozilla.org/#/jobs?repo=try&revision=9302133c51f18b9e88f19bcc56aa67a845819eb0)."
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-cje4weq32o3xyuegalpj,2022-01-10 23:47:28,"Code analysis found 1 defect in the diff 526421:
 - 1 defect found by eslint (Mozlint)

You can run this analysis locally with:
 - `./mach lint --warnings --outgoing`

---
If you see a problem in this automated review, [please report it here](https://bugzilla.mozilla.org/enter_bug.cgi?product=Firefox+Build+System&component=Source+Code+Analysis&short_desc=[Automated+review]+UPDATE&comment=**Phabricator+URL:**+https://phabricator.services.mozilla.com/...&format=__default__).

You can view these defects on [the code-review frontend](https://code-review.moz.tools/#/diff/526421) and on [Treeherder](https://treeherder.mozilla.org/#/jobs?repo=try&revision=2b6dbad5b51621ca4a034305bd5da75ea0ce9a22)."
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-cje4weq32o3xyuegalpj,2022-01-05 08:57:02,"Code analysis found 1 defect in the diff 524766:
 - 1 defect found by eslint (Mozlint)

You can run this analysis locally with:
 - `./mach lint --warnings --outgoing`

---
If you see a problem in this automated review, [please report it here](https://bugzilla.mozilla.org/enter_bug.cgi?product=Firefox+Build+System&component=Source+Code+Analysis&short_desc=[Automated+review]+UPDATE&comment=**Phabricator+URL:**+https://phabricator.services.mozilla.com/...&format=__default__).

You can view these defects on [the code-review frontend](https://code-review.moz.tools/#/diff/524766) and on [Treeherder](https://treeherder.mozilla.org/#/jobs?repo=try&revision=ede7ee967b204768a953dafac5ce530ef05356c9)."
134826,https://phabricator.services.mozilla.com/D134826,Bug 1744975 - 4. Handle Records and Tuples properly in js::ToStringSlow() r=jandem,PHID-USER-cje4weq32o3xyuegalpj,2022-01-04 07:45:07,"Code analysis found 1 defect in the diff 524308:
 - 1 defect found by eslint (Mozlint)

You can run this analysis locally with:
 - `./mach lint --warnings --outgoing`

---
If you see a problem in this automated review, [please report it here](https://bugzilla.mozilla.org/enter_bug.cgi?product=Firefox+Build+System&component=Source+Code+Analysis&short_desc=[Automated+review]+UPDATE&comment=**Phabricator+URL:**+https://phabricator.services.mozilla.com/...&format=__default__).

You can view these defects on [the code-review frontend](https://code-review.moz.tools/#/diff/524308) and on [Treeherder](https://treeherder.mozilla.org/#/jobs?repo=try&revision=b434baa1a09c6aade3ac08b83bfd0dfc8dc7cb16)."
